"timestamp","category","item_name","quantity","image_url"
2025-06-10 13:58:06.808758,"Seed Stock","Carrot","8","https://i.postimg.cc/qv5dVtkL/Carrot.png"
2025-06-10 13:58:06.808758,"Seed Stock","Corn","3","https://i.postimg.cc/0QG3Qrqh/Corn.png"
2025-06-10 13:58:06.808758,"Seed Stock","Daffodil","7","https://i.postimg.cc/Z57Jb7L6/Daffodil.png"
2025-06-10 13:58:06.808758,"Seed Stock","Strawberry","3","https://i.postimg.cc/FFymdsZr/Strawberry.png"
2025-06-10 13:58:06.808758,"Seed Stock","Pumpkin","2","https://i.postimg.cc/3xWPBKgD/Pumpkin.png"
2025-06-10 13:58:06.808758,"Seed Stock","Watermelon","4","https://i.postimg.cc/kXsB3bsL/image.png"
2025-06-10 13:58:06.808758,"Seed Stock","Tomato","1","https://i.postimg.cc/MGhxR6ZW/image.png"
2025-06-10 13:58:06.808758,"Seed Stock","Blueberry","4","https://i.postimg.cc/RV9SXZ7h/image.png"
2025-06-10 13:58:06.808758,"Gear Stock","Advanced Sprinkler","1","https://i.postimg.cc/ZKkcQ1nC/image.png"
2025-06-10 13:58:06.808758,"Gear Stock","Trowel","3","https://i.postimg.cc/43RjNNy7/image.png"
2025-06-10 13:58:06.808758,"Gear Stock","Watering Can","3","https://i.postimg.cc/3JPcnJgS/image.png"
2025-06-10 13:58:06.808758,"Gear Stock","Recall Wrench","3","https://i.postimg.cc/wvPFZrxm/image.png"
2025-06-10 13:58:06.808758,"Gear Stock","Favorite Tool","2","https://i.postimg.cc/ZK7qnhNq/image.png"
2025-06-10 13:58:06.808758,"Gear Stock","Harvest Tool","3","https://i.postimg.cc/pVD2DNKm/image.png"
2025-06-10 13:58:06.808758,"Egg Stock","Uncommon Egg","1","https://i.postimg.cc/qq4gbmkF/image.png"
2025-06-10 13:58:06.808758,"Egg Stock","Common Egg","1","https://i.postimg.cc/x81BptYT/image.png"
2025-06-10 13:58:06.808758,"Egg Stock","Common Egg","1","https://i.postimg.cc/x81BptYT/image.png"
2025-06-10 13:58:06.808758,"Honey Stock","Flower Seed Pack","1","https://i.postimg.cc/kMvysGm1/image.png"
2025-06-10 13:58:06.808758,"Honey Stock","Lavender","3","https://i.postimg.cc/gchVh3x4/image.png"
2025-06-10 13:58:06.808758,"Honey Stock","Nectarshade","3","https://i.postimg.cc/26KZWSDs/image.png"
2025-06-10 13:58:06.808758,"Honey Stock","Bee Egg","1","https://i.postimg.cc/jSdqfwSH/image.png"
2025-06-10 13:58:06.808758,"Honey Stock","Honey Comb","1","https://i.postimg.cc/XqJxFktM/image.png"
2025-06-10 13:58:06.808758,"Honey Stock","Honey Torch","1","https://i.postimg.cc/0Qt08JjV/image.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","Sign Crate","2","https://i.postimg.cc/W1W895nF/Sign-Crate.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","Red Tractor","1","https://i.postimg.cc/fRZ14qm8/Red-Tractor.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","Log","1","https://i.postimg.cc/wxLW6c6Z/Log.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","Small Circle Tile","5","https://i.postimg.cc/rwmCtSk8/Small-Circle-Tile.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","Hay Bale","1","https://i.postimg.cc/d1zS55Jm/Hay-Bale.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","Light On Ground","1","https://i.postimg.cc/15WDPfNb/Light-On-Ground.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","Curved Canopy","1","https://i.postimg.cc/hjhHyJTg/Curved-Canopy.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","Large Stone Pad","3","https://i.postimg.cc/jj2gKp54/Large-Stone-Pad.png"
2025-06-10 13:58:06.808758,"Cosmetics Stock","White Bench","1","https://i.postimg.cc/Qd9K3SDW/White-Bench.png"
2025-06-10 13:58:06.808758,"Night Stock","Twilight Crate","1","https://i.postimg.cc/tJ0T5Gwq/image.png"
2025-06-10 13:58:06.808758,"Night Stock","Star Caller","1","https://i.postimg.cc/3wsYMCB9/image.png"
2025-06-10 13:58:45.509304,"Seed Stock","Carrot","8","https://i.postimg.cc/qv5dVtkL/Carrot.png"
2025-06-10 13:58:45.509304,"Seed Stock","Corn","3","https://i.postimg.cc/0QG3Qrqh/Corn.png"
2025-06-10 13:58:45.509304,"Seed Stock","Daffodil","7","https://i.postimg.cc/Z57Jb7L6/Daffodil.png"
2025-06-10 13:58:45.509304,"Seed Stock","Strawberry","3","https://i.postimg.cc/FFymdsZr/Strawberry.png"
2025-06-10 13:58:45.509304,"Seed Stock","Pumpkin","2","https://i.postimg.cc/3xWPBKgD/Pumpkin.png"
2025-06-10 13:58:45.509304,"Seed Stock","Watermelon","4","https://i.postimg.cc/kXsB3bsL/image.png"
2025-06-10 13:58:45.509304,"Seed Stock","Tomato","1","https://i.postimg.cc/MGhxR6ZW/image.png"
2025-06-10 13:58:45.509304,"Seed Stock","Blueberry","4","https://i.postimg.cc/RV9SXZ7h/image.png"
2025-06-10 13:58:45.509304,"Gear Stock","Advanced Sprinkler","1","https://i.postimg.cc/ZKkcQ1nC/image.png"
2025-06-10 13:58:45.509304,"Gear Stock","Trowel","3","https://i.postimg.cc/43RjNNy7/image.png"
2025-06-10 13:58:45.509304,"Gear Stock","Watering Can","3","https://i.postimg.cc/3JPcnJgS/image.png"
2025-06-10 13:58:45.509304,"Gear Stock","Recall Wrench","3","https://i.postimg.cc/wvPFZrxm/image.png"
2025-06-10 13:58:45.509304,"Gear Stock","Favorite Tool","2","https://i.postimg.cc/ZK7qnhNq/image.png"
2025-06-10 13:58:45.509304,"Gear Stock","Harvest Tool","3","https://i.postimg.cc/pVD2DNKm/image.png"
2025-06-10 13:58:45.509304,"Egg Stock","Uncommon Egg","1","https://i.postimg.cc/qq4gbmkF/image.png"
2025-06-10 13:58:45.509304,"Egg Stock","Common Egg","1","https://i.postimg.cc/x81BptYT/image.png"
2025-06-10 13:58:45.509304,"Egg Stock","Common Egg","1","https://i.postimg.cc/x81BptYT/image.png"
2025-06-10 13:58:45.509304,"Honey Stock","Flower Seed Pack","1","https://i.postimg.cc/kMvysGm1/image.png"
2025-06-10 13:58:45.509304,"Honey Stock","Lavender","3","https://i.postimg.cc/gchVh3x4/image.png"
2025-06-10 13:58:45.509304,"Honey Stock","Nectarshade","3","https://i.postimg.cc/26KZWSDs/image.png"
2025-06-10 13:58:45.509304,"Honey Stock","Bee Egg","1","https://i.postimg.cc/jSdqfwSH/image.png"
2025-06-10 13:58:45.509304,"Honey Stock","Honey Comb","1","https://i.postimg.cc/XqJxFktM/image.png"
2025-06-10 13:58:45.509304,"Honey Stock","Honey Torch","1","https://i.postimg.cc/0Qt08JjV/image.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","Sign Crate","2","https://i.postimg.cc/W1W895nF/Sign-Crate.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","Red Tractor","1","https://i.postimg.cc/fRZ14qm8/Red-Tractor.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","Log","1","https://i.postimg.cc/wxLW6c6Z/Log.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","Small Circle Tile","5","https://i.postimg.cc/rwmCtSk8/Small-Circle-Tile.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","Hay Bale","1","https://i.postimg.cc/d1zS55Jm/Hay-Bale.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","Light On Ground","1","https://i.postimg.cc/15WDPfNb/Light-On-Ground.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","Curved Canopy","1","https://i.postimg.cc/hjhHyJTg/Curved-Canopy.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","Large Stone Pad","3","https://i.postimg.cc/jj2gKp54/Large-Stone-Pad.png"
2025-06-10 13:58:45.509304,"Cosmetics Stock","White Bench","1","https://i.postimg.cc/Qd9K3SDW/White-Bench.png"
2025-06-10 13:58:45.509304,"Night Stock","Twilight Crate","1","https://i.postimg.cc/tJ0T5Gwq/image.png"
2025-06-10 13:58:45.509304,"Night Stock","Star Caller","1","https://i.postimg.cc/3wsYMCB9/image.png"
2025-06-10 14:00:54.887337,"Seed Stock","Carrot","9","https://i.postimg.cc/qv5dVtkL/Carrot.png"
2025-06-10 14:00:54.887337,"Seed Stock","Strawberry","6","https://i.postimg.cc/FFymdsZr/Strawberry.png"
2025-06-10 14:00:54.887337,"Seed Stock","Tomato","2","https://i.postimg.cc/MGhxR6ZW/image.png"
2025-06-10 14:00:54.887337,"Seed Stock","Orange Tulip","21","https://i.postimg.cc/BQ3SM16P/Orange-Tulip.png"
2025-06-10 14:00:54.887337,"Seed Stock","Blueberry","1","https://i.postimg.cc/RV9SXZ7h/image.png"
2025-06-10 14:00:54.887337,"Gear Stock","Advanced Sprinkler","2","https://i.postimg.cc/ZKkcQ1nC/image.png"
2025-06-10 14:00:54.887337,"Gear Stock","Trowel","3","https://i.postimg.cc/43RjNNy7/image.png"
2025-06-10 14:00:54.887337,"Gear Stock","Watering Can","1","https://i.postimg.cc/3JPcnJgS/image.png"
2025-06-10 14:00:54.887337,"Gear Stock","Recall Wrench","1","https://i.postimg.cc/wvPFZrxm/image.png"
2025-06-10 14:00:54.887337,"Gear Stock","Favorite Tool","2","https://i.postimg.cc/ZK7qnhNq/image.png"
2025-06-10 14:00:54.887337,"Gear Stock","Harvest Tool","2","https://i.postimg.cc/pVD2DNKm/image.png"
2025-06-10 14:00:54.887337,"Egg Stock","Common Egg","1","https://i.postimg.cc/x81BptYT/image.png"
2025-06-10 14:00:54.887337,"Egg Stock","Uncommon Egg","1","https://i.postimg.cc/qq4gbmkF/image.png"
2025-06-10 14:00:54.887337,"Egg Stock","Common Egg","1","https://i.postimg.cc/x81BptYT/image.png"
2025-06-10 14:00:54.887337,"Honey Stock","Flower Seed Pack","1","https://i.postimg.cc/kMvysGm1/image.png"
2025-06-10 14:00:54.887337,"Honey Stock","Lavender","3","https://i.postimg.cc/gchVh3x4/image.png"
2025-06-10 14:00:54.887337,"Honey Stock","Nectarshade","3","https://i.postimg.cc/26KZWSDs/image.png"
2025-06-10 14:00:54.887337,"Honey Stock","Bee Egg","1","https://i.postimg.cc/jSdqfwSH/image.png"
2025-06-10 14:00:54.887337,"Honey Stock","Honey Comb","1","https://i.postimg.cc/XqJxFktM/image.png"
2025-06-10 14:00:54.887337,"Honey Stock","Honey Torch","1","https://i.postimg.cc/0Qt08JjV/image.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","Sign Crate","2","https://i.postimg.cc/W1W895nF/Sign-Crate.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","Red Tractor","1","https://i.postimg.cc/fRZ14qm8/Red-Tractor.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","Log","1","https://i.postimg.cc/wxLW6c6Z/Log.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","Small Circle Tile","5","https://i.postimg.cc/rwmCtSk8/Small-Circle-Tile.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","Hay Bale","1","https://i.postimg.cc/d1zS55Jm/Hay-Bale.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","Light On Ground","1","https://i.postimg.cc/15WDPfNb/Light-On-Ground.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","Curved Canopy","1","https://i.postimg.cc/hjhHyJTg/Curved-Canopy.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","Large Stone Pad","3","https://i.postimg.cc/jj2gKp54/Large-Stone-Pad.png"
2025-06-10 14:00:54.887337,"Cosmetics Stock","White Bench","1","https://i.postimg.cc/Qd9K3SDW/White-Bench.png"
2025-06-10 14:00:54.887337,"Night Stock","Twilight Crate","1","https://i.postimg.cc/tJ0T5Gwq/image.png"
2025-06-10 14:00:54.887337,"Night Stock","Star Caller","1","https://i.postimg.cc/3wsYMCB9/image.png"
2025-06-10 14:01:26.962516,"Seed Stock","Carrot","9","https://i.postimg.cc/qv5dVtkL/Carrot.png"
2025-06-10 14:01:26.962516,"Seed Stock","Strawberry","6","https://i.postimg.cc/FFymdsZr/Strawberry.png"
2025-06-10 14:01:26.962516,"Seed Stock","Tomato","2","https://i.postimg.cc/MGhxR6ZW/image.png"
2025-06-10 14:01:26.962516,"Seed Stock","Orange Tulip","21","https://i.postimg.cc/BQ3SM16P/Orange-Tulip.png"
2025-06-10 14:01:26.962516,"Seed Stock","Blueberry","1","https://i.postimg.cc/RV9SXZ7h/image.png"
2025-06-10 14:01:26.962516,"Gear Stock","Advanced Sprinkler","2","https://i.postimg.cc/ZKkcQ1nC/image.png"
2025-06-10 14:01:26.962516,"Gear Stock","Trowel","3","https://i.postimg.cc/43RjNNy7/image.png"
